Time,RSL
2386.6,12.180
2386.7,12.302
2386.8,12.438
2386.9,12.569
2387.0,12.688
2387.1,12.807
2387.2,12.937
2387.3,13.028
2387.4,13.111
2387.5,13.199
2387.6,13.276
2387.7,13.339
2387.8,13.392
2387.9,13.433
2388.0,13.472
2388.1,13.513
2388.2,13.542
2388.3,13.586
2388.4,13.607
2388.5,13.642
2388.6,13.648
2388.7,13.675
2388.8,13.717
2388.9,13.739
2389.0,13.779
2389.1,13.789
2389.2,13.793
2389.3,13.809
2389.4,13.835
2389.5,13.841
2389.6,13.843
2389.7,13.847
2389.8,13.854
2389.9,13.862
2390.0,13.899
2390.1,13.906
2390.2,13.916
2390.3,13.925
2390.4,13.936
2390.5,13.925
2390.6,13.958
2390.7,13.976
2390.8,13.989
2390.9,13.988
2391.0,13.998
2391.1,14.008
2391.2,14.017
2391.3,14.006
2391.4,14.016
2391.5,14.015
2391.6,14.009
2391.7,14.000
2391.8,14.003
2391.9,14.002
2392.0,14.009
2392.1,13.998
2392.2,13.987
2392.3,13.987
2392.4,13.972
2392.5,13.973
2392.6,13.947
2392.7,13.928
2392.8,13.907
2392.9,13.879
2393.0,13.853
2393.1,13.811
2393.2,13.792
2393.3,13.745
2393.4,13.722
2393.5,13.680
2393.6,13.671
2393.7,13.636
2393.8,13.618
2393.9,13.588
2394.0,13.586
2394.1,13.543
2394.2,13.507
2394.3,13.480
2394.4,13.458
2394.5,13.414
2394.6,13.407
2394.7,13.377
2394.8,13.360
2394.9,13.350
2395.0,13.350
2395.1,13.345
2395.2,13.316
2395.3,13.302
2395.4,13.293
2395.5,13.283
2395.6,13.282
2395.7,13.282
2395.8,13.277
2395.9,13.266
2396.0,13.266
2396.1,13.272
2396.2,13.291
2396.3,13.305
2396.4,13.312
2396.5,13.329
2396.6,13.358
2396.7,13.383
2396.8,13.400
2396.9,13.467
2397.0,13.509
2397.1,13.558
2397.2,13.598
2397.3,13.653
2397.4,13.718
2397.5,13.780
2397.6,13.841
2397.7,13.883
2397.8,13.913
2397.9,13.925
2398.0,13.944
2398.1,13.971
2398.2,13.996
2398.3,14.043
2398.4,14.107
2398.5,14.182
2398.6,14.252
2398.7,14.313
2398.8,14.390
2398.9,14.462
2399.0,14.538
2399.1,14.606
2399.2,14.674
2399.3,14.766
2399.4,14.839
2399.5,14.943
2399.6,15.044
2399.7,15.135
2399.8,15.230
2399.9,15.306
2400.0,15.401
2400.1,15.484
2400.2,15.575
2400.3,15.658
2400.4,15.764
2400.5,15.843
2400.6,15.914
2400.7,15.971
2400.8,16.035
2400.9,16.102
2401.0,16.177
2401.1,16.237
2401.2,16.274
2401.3,16.299
2401.4,16.358
2401.5,16.411
2401.6,16.463
2401.7,16.512
2401.8,16.535
2401.9,16.566
2402.0,16.599
2402.1,16.586
2402.2,16.572
2402.3,16.537
2402.4,16.497
2402.5,16.475
2402.6,16.429
2402.7,16.396
2402.8,16.357
2402.9,16.305
2403.0,16.257
2403.1,16.177
2403.2,16.094
2403.3,16.003
2403.4,15.916
2403.5,15.809
2403.6,15.675
2403.7,15.567
2403.8,15.444
2403.9,15.334
2404.0,15.214
2404.1,15.090
2404.2,14.968
2404.3,14.836
2404.4,14.709
2404.5,14.572
2404.6,14.428
2404.7,14.277
2404.8,14.130
2404.9,13.982
2405.0,13.837
2405.1,13.682
2405.2,13.523
2405.3,13.382
2405.4,13.221
2405.5,13.051
2405.6,12.879
2405.7,12.707
2405.8,12.531
2405.9,12.358
2406.0,12.189
2406.1,12.005
2406.2,11.828
2406.3,11.651
2406.4,11.463
2406.5,11.274
2406.6,11.100
2406.7,10.910
2406.8,10.732
2406.9,10.535
2407.0,10.352
2407.1,10.172
2407.2,10.021
2407.3,9.863
2407.4,9.716
2407.5,9.578
2407.6,9.450
2407.7,9.306
2407.8,9.163
2407.9,9.005
2408.0,8.828
2408.1,8.666
2408.2,8.516
2408.3,8.413
2408.4,8.306
2408.5,8.209
2408.6,8.126
2408.7,8.043
2408.8,8.000
2408.9,7.952
2409.0,7.918
2409.1,7.906
2409.2,7.897
2409.3,7.870
2409.4,7.864
2409.5,7.860
2409.6,7.853
2409.7,7.844
2409.8,7.832
2409.9,7.822
2410.0,7.813
2410.1,7.808
2410.2,7.810
2410.3,7.819
2410.4,7.817
2410.5,7.817
2410.6,7.838
2410.7,7.828
2410.8,7.838
